"","Date","Open","High","Low","Close","Adjusted_close","Volume"
"173","2018-11-26",221.29,222.76,221.29,222.525,222.525,4126
"174","2018-11-23",219.355,221.06,219.355,221.06,221.06,350
"175","2018-11-22",220.305,220.305,218.53,218.655,218.655,2882
"176","2018-11-21",220.475,221.67,220.265,221.67,221.67,6160
"177","2018-11-20",221.83,221.86,219.49,220.14,220.14,11671
"178","2018-11-19",227.455,227.645,223.805,223.805,223.805,2098
"179","2018-11-16",227.795,227.795,225.49,226.375,226.375,6931
"180","2018-11-15",226.465,226.465,223.685,226.345,226.345,12830
"181","2018-11-14",228.135,229.52,227.095,227.095,227.095,3680
"182","2018-11-13",NA,NA,NA,NA,0,NA
"183","2018-11-12",234.28,234.28,230.29,230.29,230.29,48
"184","2018-11-09",233.69,233.69,232.34,232.34,232.34,4144
"185","2018-11-08",233.105,233.105,233.075,233.075,233.075,20
"186","2018-11-07",228.685,230.4,228.685,230.4,230.4,5810
"187","2018-11-06",227.295,227.79,226.465,227.645,227.645,4936
"188","2018-11-05",226.175,227.45,226.175,226.52,226.52,10392
"189","2018-11-02",228.93,228.955,225.8,225.8,225.8,9093
"190","2018-11-01",226.095,227.105,225.92,227.105,227.105,3221
"191","2018-10-31",225.03,227.405,224.995,227.405,227.405,6255
"192","2018-10-30",221.39,221.92,220.48,221.295,221.295,2450
"193","2018-10-29",222.315,224.135,222.2,222.2,222.2,295
"194","2018-10-26",222.495,222.495,220.16,221.45,221.45,4952
"195","2018-10-25",221.395,224.9,221.395,224.9,224.9,9633
"196","2018-10-24",224.99,227.735,224.865,224.865,224.865,6149
"197","2018-10-23",224.825,224.825,222.985,223.41,223.41,11539
"198","2018-10-22",227.765,228.57,227.35,227.935,227.935,148
"199","2018-10-19",229.72,229.72,229.255,229.295,229.295,288
"200","2018-10-18",230.975,230.975,228.755,228.755,228.755,3294
"201","2018-10-17",230.92,230.92,229.31,229.43,229.43,48
"202","2018-10-16",225.37,228.205,225.37,228.205,228.205,0
"203","2018-10-15",225.51,226.275,225,226.275,226.275,3275
"204","2018-10-12",226.73,227.325,226.25,226.25,226.25,6415
"205","2018-10-11",226.67,228.445,225.18,226.095,226.095,17988
"206","2018-10-10",237.335,237.335,233.005,233.005,233.005,0
"207","2018-10-09",237.86,238.125,237.525,238.125,238.125,94
"208","2018-10-08",237.575,237.575,237.19,237.19,237.19,2
"209","2018-10-05",239.06,239.06,237.625,237.625,237.625,3894
"210","2018-10-04",240.46,240.46,238.895,238.895,238.895,2194
"211","2018-10-03",239.81,241.205,239.81,241.205,241.205,1384
"212","2018-10-02",239.665,240.2,239.665,239.85,239.85,80
"213","2018-10-01",239.35,240.195,239.3,240.195,240.195,873
"214","2018-09-28",237.545,237.915,237.545,237.915,237.915,547
"215","2018-09-27",235.515,237.225,235.34,237.225,237.225,4200
"216","2018-09-26",235.24,235.745,235.24,235.745,235.745,0
"217","2018-09-25",235.505,235.505,235.235,235.235,235.235,0
"218","2018-09-24",235.735,235.735,234.765,234.765,234.765,0
"219","2018-09-21",235.995,236.805,235.995,236.805,236.805,140
"220","2018-09-20",235.785,235.96,235.15,235.96,235.96,58
"221","2018-09-19",235.81,236.07,235.81,235.93,235.93,70
"222","2018-09-18",234.38,235.68,234.38,235.68,235.68,0
"223","2018-09-17",236.425,236.425,234.94,234.94,234.94,25
"224","2018-09-14",235.655,236.305,235.5,236.305,236.305,15
"225","2018-09-13",235.4,235.445,235.21,235.235,235.235,3480
"226","2018-09-12",236.43,236.43,235.53,235.53,235.53,94
"227","2018-09-11",235.04,235.785,234.835,235.785,235.785,2047
"228","2018-09-10",236.175,236.175,235.285,235.285,235.285,1351
"229","2018-09-07",234.21,235.845,234.21,235.845,235.845,3020
"230","2018-09-06",235.04,235.04,234.19,234.42,234.42,47
