Name,Type,Asset,ID,Lots,Open,Close,Entry,Exit,Profit,Roll,ExitType
H1,Long,SPX500,3551537,1,2012-11-08 12:00,2012-11-09 04:00,1395.10,1383.40,-10.19,0.00,Reverse
H4,Short,USD/JPY,3552039,1,2012-11-08 17:00,2012-11-09 05:00,79.7520,79.5430,1.53,0.00,Reverse
H4,Long,SPX500,3550031,1,2012-11-07 21:00,2012-11-09 09:00,1394.90,1380.10,-12.89,0.00,Reverse
H1,Short,EUR/USD,3552440,1,2012-11-08 21:00,2012-11-09 11:00,1.27417,1.27140,2.77,0.00,Reverse
H1,Short,USD/JPY,3552941,1,2012-11-09 02:00,2012-11-09 13:00,79.4710,79.1410,2.42,0.00,Reverse
H1,Short,SPX500,3553142,1,2012-11-09 04:00,2012-11-09 14:00,1383.40,1372.90,9.15,0.00,Reverse
H1,Long,USD/JPY,3554046,1,2012-11-09 13:00,2012-11-09 18:00,79.1410,79.5070,2.68,0.00,Reverse
H1,Long,SPX500,3554147,1,2012-11-09 14:00,2012-11-09 18:00,1372.90,1389.60,14.55,0.00,Reverse
H4,Short,EUR/USD,3547220,1,2012-11-06 17:00,2012-11-12 00:00,1.28179,1.27207,9.72,0.00,Reverse
H4,Long,USD/JPY,3553243,1,2012-11-09 05:00,2012-11-12 00:00,79.5430,79.4690,-0.54,0.00,Reverse
H1,Long,EUR/USD,3553845,1,2012-11-09 11:00,2012-11-12 01:00,1.27140,1.27235,0.95,0.00,Reverse
H1,Short,SPX500,3554549,1,2012-11-09 18:00,2012-11-12 02:00,1389.60,1378.90,9.32,0.00,Reverse
H1,Short,USD/JPY,3554548,1,2012-11-09 18:00,2012-11-12 04:00,79.5070,79.4780,0.21,0.00,Reverse
H1,Long,SPX500,3555053,1,2012-11-12 02:00,2012-11-12 09:00,1378.90,1380.60,1.48,0.00,Reverse
H1,Short,EUR/USD,3554952,1,2012-11-12 01:00,2012-11-12 12:00,1.27235,1.27106,1.29,0.00,Reverse
H1,Long,EUR/USD,3556056,1,2012-11-12 12:00,2012-11-12 16:00,1.27106,1.27116,0.10,0.00,Reverse
H1,Short,EUR/USD,3556457,1,2012-11-12 16:00,2012-11-12 17:00,1.27116,1.27127,-0.11,0.00,Reverse
H1,Long,USD/JPY,3555254,1,2012-11-12 04:00,2012-11-12 18:00,79.4780,79.4400,-0.28,0.00,Reverse
H1,Short,SPX500,3555755,1,2012-11-12 09:00,2012-11-12 18:00,1380.60,1382.40,-1.57,0.00,Reverse
D1,Short,SPX500,3542407,1,2012-11-02 14:00,2012-11-12 20:00,1431.10,1382.10,42.68,0.00,Reverse
H1,Short,USD/JPY,3556659,1,2012-11-12 18:00,2012-11-13 05:00,79.4400,79.2940,1.07,0.00,Reverse
H1,Long,EUR/USD,3556558,1,2012-11-12 17:00,2012-11-13 09:00,1.27127,1.26772,-3.55,0.00,Reverse
H1,Long,USD/JPY,3557762,1,2012-11-13 05:00,2012-11-13 13:00,79.2940,79.4820,1.38,0.00,Reverse
H1,Long,SPX500,3556660,1,2012-11-12 18:00,2012-11-13 13:00,1382.40,1375.40,-6.10,0.00,Reverse
H4,Short,SPX500,3553644,1,2012-11-09 09:00,2012-11-13 16:00,1380.10,1388.40,-7.23,0.00,Reverse
D1,Long,EUR/USD,3528060,1,2012-10-25 11:00,2012-11-13 20:00,1.29958,1.27055,-29.03,0.00,Reverse
H1,Short,USD/JPY,3558564,1,2012-11-13 13:00,2012-11-13 21:00,79.4820,79.3870,0.70,0.00,Reverse
H1,Short,EUR/USD,3558163,1,2012-11-13 09:00,2012-11-13 23:00,1.26772,1.27026,-2.54,0.00,Reverse
H4,Long,EUR/USD,3554850,1,2012-11-12 00:00,2012-11-14 00:00,1.27207,1.27099,-1.08,0.00,Reverse
